time, Ex_field_energy, Ex_max_norm
5.0000000000e-01 5.3515083172e+02 6.5360738475e+00
5.5000000000e-01 5.3593427580e+02 6.1590789603e+00
6.0000000000e-01 5.2953870415e+02 6.3120058955e+00
6.5000000000e-01 5.2819671442e+02 5.7067486043e+00
7.0000000000e-01 5.1923544259e+02 7.8863980251e+00
7.5000000000e-01 5.1200034857e+02 5.4175276729e+00
8.0000000000e-01 5.1470374308e+02 7.1024485646e+00
8.5000000000e-01 5.1394522255e+02 7.9166067110e+00
9.0000000000e-01 5.0678733574e+02 6.3869156482e+00
9.5000000000e-01 5.0650556148e+02 5.2332088636e+00
1.0000000000e+00 5.1015552664e+02 7.1310589646e+00
1.0500000000e+00 5.0896519126e+02 5.7676478119e+00
1.1000000000e+00 5.1127342562e+02 6.1208512623e+00
1.1500000000e+00 5.0872518808e+02 6.4323604402e+00
1.2000000000e+00 5.0534494237e+02 5.9979786312e+00
1.2500000000e+00 5.0594171266e+02 6.3157069622e+00
1.3000000000e+00 5.0244716900e+02 6.4270433848e+00
1.3500000000e+00 5.0380556730e+02 6.9794940656e+00
1.4000000000e+00 5.0300618181e+02 6.0464999349e+00
1.4500000000e+00 4.9874952876e+02 6.2940181744e+00
1.5000000000e+00 4.9960969329e+02 5.9172645207e+00
1.5500000000e+00 4.9913591077e+02 6.8570883037e+00
1.6000000000e+00 4.9775316077e+02 5.9715188528e+00
1.6500000000e+00 4.9864099921e+02 6.3083912165e+00
1.7000000000e+00 4.9711186981e+02 6.5998915439e+00
1.7500000000e+00 4.9958651855e+02 6.9069653129e+00
1.8000000000e+00 5.0070378800e+02 8.4611508510e+00
1.8500000000e+00 5.0223518203e+02 7.0191654447e+00
1.9000000000e+00 5.0515156171e+02 6.6064874799e+00
1.9500000000e+00 5.0154121372e+02 6.5352626482e+00
2.0000000000e+00 5.0578696418e+02 6.2179027778e+00
2.0500000000e+00 5.0474221522e+02 6.5708396021e+00
2.1000000000e+00 5.0364872942e+02 7.0141362173e+00
2.1500000000e+00 5.1063256397e+02 6.5459375156e+00
